,school,location,address,lat,lon
0,Walter Payton College Prep,"Walter Payton College Prep, 1034, North Wells Street, River North, Near North Side, Chicago, Cook County, Illinois, 60610, United States","Walter Payton College Prep, 1034, North Wells Street, River North, Near North Side, Chicago, Cook County, Illinois, 60610, United States",41.90124575,-87.63555162319162
1,northside college preparatory high school,"Northside College Preparatory High School, North Shore Channel Trail, Lincoln Square, Chicago, Jefferson Township, Cook County, Illinois, 60659, United States","Northside College Preparatory High School, North Shore Channel Trail, Lincoln Square, Chicago, Jefferson Township, Cook County, Illinois, 60659, United States",41.980512950000005,-87.70761487417458
2,Jones College Prep,"Jones College Prep, 700, South State Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60605, United States","Jones College Prep, 700, South State Street, Printer's Row, Loop, Chicago, Cook County, Illinois, 60605, United States",41.8732043,-87.62793034326477
3,Whitney Young High,"Whitney M. Young Magnet High School, 211, South Laflin Street, Near West Side, Chicago, Cook County, Illinois, 60607, United States","Whitney M. Young Magnet High School, 211, South Laflin Street, Near West Side, Chicago, Cook County, Illinois, 60607, United States",41.87822745,-87.66311913245119
4,Lane Tech High School,"Lane Tech High School, 2501, West Addison Street, North Center, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States","Lane Tech High School, 2501, West Addison Street, North Center, Chicago, Jefferson Township, Cook County, Illinois, 60618, United States",41.94533755,-87.69079704644577
